"PO_BLANKET_ID","PO_RELEASE_ID","LINE_ID","SHIPMENT_ID","CATEGORY_ID","CANCEL_FLAG","UOM","AMOUNT","QTY","GEOGRAPHY_ID","CONTRACT_ID","CONTRACT_LINE_ID","ORIGINAL_DUE_DATE","LATEST_DUE_DATE","SHIPMENT_LINE"
32839,58522,116543,116543,30,"N","Each",50704.23,339,209,32839,38306,28/JAN/05,28/JAN/05,1
32841,58523,116544,116544,114,"N","Each",56121.45,339,209,32841,38318,28/JAN/05,28/JAN/05,1
32841,58523,116545,116545,32,"N","Each",5793.51,339,209,32841,38319,28/JAN/05,28/JAN/05,2
32843,58524,116546,116546,114,"N","Each",7244.43,339,209,32843,38337,28/JAN/05,28/JAN/05,1
32843,58524,116547,116547,111,"N","Each",5793.51,339,209,32843,38338,28/JAN/05,28/JAN/05,2
32845,58525,116548,116548,114,"N","Each",579.69,339,209,32845,38351,28/JAN/05,28/JAN/05,1
32845,58525,116549,116549,34,"N","Each",8691.96,339,209,32845,38352,28/JAN/05,28/JAN/05,2
32984,58526,116550,116550,91,"N","Each",6202,20,209,32984,38530,21/JAN/05,21/JAN/05,1
32984,58526,116551,116551,91,"N","Each",4941.75,5,209,32984,38531,21/JAN/05,21/JAN/05,2
32984,58565,116728,116728,91,"N","Each",266.7,127,209,32984,38529,31/JAN/05,31/JAN/05,1
32984,58565,116729,116729,91,"N","Each",21707,70,209,32984,38530,24/JAN/05,24/JAN/05,2
32984,58565,116730,116730,91,"N","Each",18778.65,19,209,32984,38531,24/JAN/05,24/JAN/05,3
32839,58513,116516,116516,30,"N","Each",60733.86,374,207,32839,38308,28/JAN/05,28/JAN/05,1
32840,58514,116517,116517,114,"N","Each",1816.45,85,207,32840,38310,28/JAN/05,28/JAN/05,1
32840,58514,116518,116518,114,"N","Each",1816.45,85,207,32840,38311,28/JAN/05,28/JAN/05,2
32840,58514,116519,116519,32,"N","Each",6391.66,374,207,32840,38314,28/JAN/05,28/JAN/05,3
32840,58514,116520,116520,114,"N","Each",9589.36,374,207,32840,38315,28/JAN/05,28/JAN/05,4
32843,58516,116525,116525,114,"N","Each",75301.16,374,207,32843,38332,28/JAN/05,28/JAN/05,1
32843,58516,116526,116526,114,"N","Each",7992.38,374,207,32843,38333,28/JAN/05,28/JAN/05,2
32843,58516,116527,116527,111,"N","Each",11186.34,374,207,32843,38334,28/JAN/05,28/JAN/05,3
32844,58517,116528,116528,114,"N","Each",97.75,85,207,32844,38341,28/JAN/05,28/JAN/05,1
32844,58517,116529,116529,114,"N","Each",97.75,85,207,32844,38342,28/JAN/05,28/JAN/05,2
32844,58517,116530,116530,32,"N","Each",59454.78,374,207,32844,38346,28/JAN/05,28/JAN/05,3
32844,58517,116531,116531,114,"N","Each",639.54,374,207,32844,38347,28/JAN/05,28/JAN/05,4
32844,58517,116532,116532,34,"N","Each",14384.04,374,207,32844,38348,28/JAN/05,28/JAN/05,5
32984,58518,116533,116533,91,"N","Each",15505,50,207,32984,38530,21/JAN/05,21/JAN/05,1
32984,58518,116534,116534,91,"N","Each",21743.7,22,207,32984,38531,21/JAN/05,21/JAN/05,2
32843,58859,117576,117576,111,"N","Each",119.64,4,207,32843,38334,04/FEB/05,04/FEB/05,3
32844,58860,117577,117577,114,"N","Each",8.6,20,207,32844,38340,04/FEB/05,04/FEB/05,1
32844,58860,117578,117578,114,"N","Each",97.75,85,207,32844,38341,07/FEB/05,07/FEB/05,2
32844,58860,117579,117579,114,"N","Each",97.75,85,207,32844,38342,07/FEB/05,07/FEB/05,3
32844,58860,117581,117581,32,"N","Each",635.88,4,207,32844,38346,04/FEB/05,04/FEB/05,4
32844,58860,117582,117582,114,"N","Each",6.84,4,207,32844,38347,04/FEB/05,04/FEB/05,5
32844,58860,117583,117583,34,"N","Each",153.84,4,207,32844,38348,04/FEB/05,04/FEB/05,6
32984,58862,117584,117584,91,"N","Each",621.6,296,207,32984,38529,07/FEB/05,07/FEB/05,1
32984,58862,117585,117585,91,"N","Each",27909,90,207,32984,38530,31/JAN/05,31/JAN/05,2
