INVOICE_HOLDS,497627,200333,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,6-Mar-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,6-Mar-15,SYSTEM,,
INVOICE_HOLDS,609648,222584,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,2-Oct-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,2-Oct-15,SYSTEM,,
INVOICE_HOLDS,641650,228095,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,5-Nov-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,5-Nov-15,SYSTEM,,
INVOICE_HOLDS,657650,231484,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,3-Dec-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,3-Dec-15,SYSTEM,,
INVOICE_HOLDS,545633,209722,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,17-Jun-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,20-Jun-15,SYSTEM,,
INVOICE_HOLDS,593645,218072,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,4-Sep-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,4-Sep-15,SYSTEM,,
INVOICE_HOLDS,627650,225876,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,21-Oct-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,21-Oct-15,SYSTEM,,
INVOICE_HOLDS,627651,225875,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,21-Oct-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,21-Oct-15,SYSTEM,,
INVOICE_HOLDS,627652,225883,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,21-Oct-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,21-Oct-15,SYSTEM,,
INVOICE_HOLDS,627653,225886,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,21-Oct-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,21-Oct-15,SYSTEM,,
INVOICE_HOLDS,627654,225893,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,21-Oct-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,21-Oct-15,SYSTEM,,
INVOICE_HOLDS,627655,225896,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,21-Oct-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,21-Oct-15,SYSTEM,,
INVOICE_HOLDS,627656,225898,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,21-Oct-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,21-Oct-15,SYSTEM,,
INVOICE_HOLDS,627657,225903,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,21-Oct-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,21-Oct-15,SYSTEM,,
INVOICE_HOLDS,627658,225906,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,21-Oct-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,21-Oct-15,SYSTEM,,
INVOICE_HOLDS,490626,199590,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,26-Feb-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,20-Jun-15,SYSTEM,,
INVOICE_HOLDS,627659,225908,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,21-Oct-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,21-Oct-15,SYSTEM,,
INVOICE_HOLDS,627660,225913,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,21-Oct-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,21-Oct-15,SYSTEM,,
INVOICE_HOLDS,627661,225915,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,21-Oct-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,21-Oct-15,SYSTEM,,
INVOICE_HOLDS,627662,225916,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,21-Oct-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,21-Oct-15,SYSTEM,,
INVOICE_HOLDS,627663,225922,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,21-Oct-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,21-Oct-15,SYSTEM,,
