RECORD_TYPE:INVOICE_HOLDS,INVOICE_HOLD_ID,INVOICE_ID,HOLD_NAME,HOLD_REASON,HOLD_DATE,HOLD_SOURCE,HELD_BY_PERSON_ID,RELEASE_NAME,RELEASE_REASON,RELEASE_DATE,RELEASE_SOURCE,RELEASED_BY_PERSON_ID,HOLD_COMMENTS
INVOICE_HOLDS,27844,157744,QTY REC,Quantity billed exceeds quantity received,18-Sep-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,27848,157744,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,18-Sep-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,25100,156498,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,25-Aug-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,25-Aug-13,MANUAL,57,
INVOICE_HOLDS,28416,157723,QTY ORD,Quantity billed exceeds quantity ordered,14-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,18-Sep-13,MANUAL,25,
INVOICE_HOLDS,28419,157723,QTY ORD,Quantity billed exceeds quantity ordered,14-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,18-Sep-13,MANUAL,25,
INVOICE_HOLDS,28420,157723,QTY REC,Quantity billed exceeds quantity received,14-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,18-Sep-13,MANUAL,25,
INVOICE_HOLDS,28423,157723,QTY REC,Quantity billed exceeds quantity received,14-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,18-Sep-13,MANUAL,25,
INVOICE_HOLDS,28424,157723,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,14-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,18-Sep-13,MANUAL,25,
INVOICE_HOLDS,28427,157723,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,14-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,18-Sep-13,MANUAL,25,
INVOICE_HOLDS,28428,157723,QTY ORD,Quantity billed exceeds quantity ordered,14-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,18-Sep-13,MANUAL,25,
INVOICE_HOLDS,28431,157723,QTY ORD,Quantity billed exceeds quantity ordered,14-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,18-Sep-13,MANUAL,25,
INVOICE_HOLDS,28432,157723,QTY REC,Quantity billed exceeds quantity received,14-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,18-Sep-13,MANUAL,25,
INVOICE_HOLDS,28435,157724,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,14-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,18-Sep-13,MANUAL,25,
INVOICE_HOLDS,28436,157741,QTY REC,Quantity billed exceeds quantity received,14-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,17-Sep-13,MANUAL,25,
INVOICE_HOLDS,28564,153451,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,12-Jul-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,25-Aug-13,MANUAL,57,
INVOICE_HOLDS,27380,153451,PRICE,Invoice price exceeds purchase order price,10-Jul-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,10-Jul-13,MANUAL,57,
INVOICE_HOLDS,174534,168630,PRICE,Invoice price exceeds purchase order price,11-Jan-14,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,11-Jan-14,MANUAL,57,
